Time (s),Signal (V)
2.306,2.620405812
2.308,2.179800118
2.31,2.367465506
2.312,2.416421694
2.314,2.473537247
2.316,2.555130894
2.318,2.653043271
2.32,2.775433741
2.322,2.905983577
2.324,2.742796283
2.326,2.54697153
2.328,2.285871859
2.33,2.449059153
2.332,2.54697153
2.334,2.612246447
2.336,2.8080712
2.338,2.750955647
2.34,2.873346118
2.342,2.979417859
2.344,2.799911836
2.346,2.604087083
2.348,2.367465506
2.35,2.514334071
2.352,2.653043271
2.354,2.710158824
2.356,2.791752471
2.358,2.881505483
2.36,3.093648965
2.362,3.118127059
2.364,3.003895953
2.366,2.734636918
2.368,2.432740424
2.37,2.595927718
2.372,2.693840094
2.374,2.710158824
2.376,2.881505483
2.378,3.003895953
2.38,3.248676894
2.382,3.183401977
2.384,3.012055318
2.386,2.750955647
2.388,2.465377883
2.39,2.68568073
2.392,2.759115012
2.394,2.799911836
2.396,2.865186753
2.398,2.897824212
2.4,3.150764518
2.402,3.0854896
2.404,2.865186753
2.406,2.563290259
2.408,2.277712495
2.41,2.644883906
2.412,2.661202636
2.414,2.701999459
2.416,2.791752471
2.418,2.742796283
2.42,3.012055318
2.422,2.881505483
2.424,2.669362
2.426,2.432740424
2.428,2.2532344
2.43,2.481696612
2.432,2.54697153
2.434,2.498015342
2.436,2.514334071
2.438,2.636724542
2.44,2.9467804
2.442,2.848868024
2.444,2.628565177
2.446,2.351146777
2.448,2.13084393
2.45,2.473537247
2.452,2.440899789
2.454,2.506174706
2.456,2.620405812
2.458,2.669362
2.46,2.938621036
2.462,2.775433741
2.464,2.563290259
2.466,2.220596942
2.468,2.155322024
2.47,2.449059153
2.472,2.3919436
2.474,2.555130894
2.476,2.628565177
2.478,2.661202636
2.48,2.930461671
2.482,2.82438993
2.484,2.636724542
2.486,2.245075036
2.488,2.236915671
2.49,2.481696612
2.492,2.465377883
2.494,2.595927718
2.496,2.718318189
2.498,2.644883906
2.5,2.9467804
2.502,2.775433741
2.504,2.677521365
2.506,2.2532344
2.508,2.2532344
2.51,2.449059153
2.512,2.40826233
2.514,2.465377883
2.516,2.669362
2.518,2.669362
2.52,2.889664847
2.522,2.669362
2.524,2.587768353
2.526,2.302190589
2.528,2.302190589
2.53,2.457218518
2.532,2.473537247
2.534,2.538812165
2.536,2.653043271
2.538,2.636724542
2.54,2.865186753
2.542,2.636724542
2.544,2.473537247
2.546,2.204278212
2.548,2.2532344
2.55,2.285871859
2.552,2.342987412
2.554,2.400102965
2.556,2.587768353
2.558,2.579608989
2.56,2.775433741
2.562,2.579608989
2.564,2.449059153
2.566,2.016612824
2.568,2.122684565
2.57,2.26955313
2.572,2.277712495
2.574,2.367465506
2.576,2.440899789
2.578,2.481696612
2.58,2.628565177
2.582,2.489855977
2.584,2.351146777
2.586,1.983975365
2.588,2.041090918
2.59,2.163481389
2.592,2.26955313
2.594,2.302190589
2.596,2.465377883
2.598,2.473537247
2.6,2.579608989
2.602,2.465377883
2.604,2.302190589
2.606,1.983975365
2.608,2.163481389
2.61,2.196118847
2.612,2.179800118
2.614,2.334828047
2.616,2.457218518
2.618,2.595927718
2.62,2.538812165
2.622,2.432740424
2.624,2.285871859
2.626,1.886062989
2.628,2.098206471
2.63,2.196118847
2.632,2.212437577
2.634,2.367465506
2.636,2.457218518
2.638,2.701999459
2.64,2.5306528
2.642,2.424581059
2.644,2.245075036
2.646,1.8371068
2.648,2.106365836
2.65,2.171640753
2.652,2.245075036
2.654,2.3919436
2.656,2.310349953
2.658,2.5306528
2.66,2.636724542
2.662,2.40826233
2.664,2.139003295
2.666,1.8371068
2.668,2.098206471
2.67,2.155322024
2.672,2.2532344
2.674,2.342987412
2.676,2.351146777
2.678,2.604087083
2.68,2.653043271
2.682,2.326668683
2.684,2.1145252
2.686,1.8371068
2.688,2.1145252
2.69,2.179800118
2.692,2.212437577
2.694,2.342987412
2.696,2.383784236
2.698,2.620405812
2.7,2.628565177
2.702,2.351146777
2.704,2.065569012
2.706,1.861584895
2.708,2.122684565
2.71,2.220596942
2.712,2.196118847
2.714,2.318509318
2.716,2.383784236
2.718,2.636724542
2.72,2.555130894
2.722,2.3919436
2.724,2.065569012
2.726,1.828947436
2.728,2.073728377
2.73,2.1145252
2.732,2.212437577
2.734,2.310349953
2.736,2.245075036
2.738,2.595927718
2.74,2.498015342
2.742,2.359306142
2.744,2.081887742
2.746,1.763672518
2.748,2.098206471
2.75,2.057409647
2.752,2.204278212
2.754,2.367465506
2.756,2.334828047
2.758,2.612246447
2.76,2.522493436
2.762,2.334828047
2.764,2.122684565
2.766,1.967656636
2.768,2.139003295
2.77,2.016612824
2.772,2.13084393
2.774,2.302190589
2.776,2.326668683
2.778,2.498015342
2.78,2.506174706
2.782,2.40826233
2.784,1.926859812
2.786,1.796309977
2.788,2.171640753
2.79,2.155322024
