Time (s),Signal (V)
2.502,2.635078416
2.504,2.739090953
2.506,2.825768067
2.508,2.635078416
2.51,2.427053342
2.512,2.149686577
2.514,2.063009463
2.516,2.04567404
2.518,2.219028268
2.52,2.444388765
2.522,2.756426375
2.524,2.84310349
2.526,2.825768067
2.528,2.704420107
2.53,2.47905961
2.532,2.201692845
2.534,2.097680308
2.536,2.115015731
2.538,2.288369959
2.54,2.47905961
2.542,2.791097221
2.544,2.895109758
2.546,2.895109758
2.548,2.704420107
2.55,2.496395033
2.552,2.219028268
2.554,2.149686577
2.556,2.167022
2.558,2.340376228
2.56,2.583072147
2.562,2.84310349
2.564,2.999122295
2.566,2.929780604
2.568,2.739090953
2.57,2.513730456
2.572,2.253699114
2.574,2.167022
2.576,2.219028268
2.578,2.444388765
2.58,2.669749261
2.582,2.895109758
2.584,2.981786872
2.586,2.964451449
2.588,2.773761798
2.59,2.531065879
2.592,2.305705382
2.594,2.201692845
2.596,2.271034536
2.598,2.496395033
2.6,2.756426375
2.602,2.981786872
2.604,3.085799409
2.606,2.999122295
2.608,2.808432644
2.61,2.565736724
2.612,2.357711651
2.614,2.323040805
2.616,2.375047073
2.618,2.583072147
2.62,2.877774335
2.622,3.068463986
2.624,3.137805678
2.626,3.137805678
2.628,2.912445181
2.63,2.704420107
2.632,2.531065879
2.634,2.47905961
2.636,2.548401302
2.638,2.756426375
2.64,3.120470255
2.642,3.293824483
2.644,3.39783702
2.646,3.328495329
2.648,3.137805678
2.65,2.877774335
2.652,2.72175553
2.654,2.704420107
2.656,2.825768067
2.658,3.033793141
2.66,3.311159906
2.662,3.51918498
2.664,3.588526671
2.666,3.501849557
2.668,3.311159906
2.67,3.068463986
2.672,2.912445181
2.674,2.84310349
2.676,2.981786872
2.678,3.207147369
2.68,3.501849557
2.682,3.657868362
2.684,3.640532939
2.686,3.571191248
2.688,3.380501597
2.69,3.085799409
2.692,2.895109758
2.694,2.877774335
2.696,2.964451449
2.698,3.137805678
2.7,3.415172443
2.702,3.536520402
2.704,3.51918498
2.706,3.380501597
2.708,3.172476523
2.71,2.84310349
2.712,2.617742993
2.714,2.565736724
2.716,2.617742993
2.718,2.739090953
2.72,3.016457718
2.722,3.120470255
2.724,3.103134832
2.726,2.947116027
2.728,2.72175553
2.73,2.392382496
2.732,2.219028268
2.734,2.115015731
2.736,2.271034536
2.738,2.427053342
2.74,2.72175553
2.742,2.84310349
2.744,2.825768067
2.746,2.687084684
2.748,2.496395033
2.75,2.132351154
2.752,1.993667771
2.754,1.958996926
2.756,2.080344885
2.758,2.288369959
2.76,2.565736724
2.762,2.704420107
2.764,2.687084684
2.766,2.548401302
2.768,2.375047073
2.77,2.028338617
2.772,1.889655234
2.774,1.872319812
2.776,1.993667771
2.778,2.219028268
2.78,2.513730456
2.782,2.617742993
2.784,2.617742993
2.786,2.461724188
2.788,2.288369959
2.79,1.958996926
